Replicate,Position_ID,Type,Frame,Cell_ID,Area_um_2,,,,Perimeter,Circularity,,,,Aspect_ratio,Round,Solidity
Rep1,Pos017,Uncompressed,5,1,809.711,255,255,255,122.436,0.679,206476.282,100,159885,1.859,0.538,0.859
Rep1,Pos017,Uncompressed,10,1,667.656,255,255,255,101.981,0.807,170252.373,100,131835,1.531,0.653,0.912
Rep1,Pos017,Uncompressed,10,2,539.807,255,255,255,91.948,0.802,137650.855,100,106590,1.159,0.863,0.881
Rep1,Pos017,Uncompressed,10,3,529.476,255,255,255,86.461,0.89,135016.389,100,104550,1.354,0.738,0.938
Rep1,Pos017,Uncompressed,10,4,464.906,255,255,255,79.757,0.918,118550.975,100,91800,1.286,0.778,0.954
Rep1,Pos017,Uncompressed,10,5,445.535,255,255,255,80.698,0.86,113611.351,100,87975,1.287,0.777,0.906
Rep1,Pos017,Uncompressed,15,1,644.411,255,255,255,95.001,0.897,164324.824,100,127245,1.145,0.874,0.947
Rep1,Pos017,Uncompressed,15,2,302.189,255,255,255,64.513,0.912,77058.134,100,59670,1.173,0.853,0.925
Rep1,Pos017,Uncompressed,15,3,526.893,255,255,255,91.007,0.799,134357.772,100,104040,1.457,0.686,0.906
Rep1,Pos017,Uncompressed,15,4,439.078,255,255,255,79.091,0.882,111964.81,100,86700,1.192,0.839,0.923
Rep1,Pos017,Uncompressed,20,1,702.524,255,255,255,103.978,0.817,179143.696,100,138720,1.317,0.76,0.921
Rep1,Pos017,Uncompressed,20,2,968.554,255,255,255,174.919,0.398,246981.199,100,191250,1.89,0.529,0.8
Rep1,Pos017,Uncompressed,20,3,382.256,255,255,255,76.543,0.82,97475.246,100,75480,1.161,0.861,0.922
Rep1,Pos017,Uncompressed,20,4,330.6,255,255,255,70,0.848,84302.916,100,65280,1.396,0.716,0.918
Rep1,Pos017,Uncompressed,25,1,719.313,255,255,255,104.643,0.825,183424.703,100,142035,1.32,0.758,0.928
Rep1,Pos017,Uncompressed,25,2,479.111,255,255,255,82.971,0.875,122173.366,100,94605,1.317,0.759,0.924
Rep1,Pos017,Uncompressed,25,3,543.681,255,255,255,89.01,0.862,138638.779,100,107355,1.216,0.822,0.918
Rep1,Pos017,Uncompressed,25,4,622.457,255,255,255,94.497,0.876,158726.584,100,122910,1.3,0.769,0.927
Rep1,Pos017,Uncompressed,25,5,473.946,255,255,255,80.698,0.915,120856.133,100,93585,1.115,0.897,0.945
Rep1,Pos017,Uncompressed,30,1,666.365,255,255,255,100.764,0.825,169923.065,100,131580,1.445,0.692,0.936
Rep1,Pos017,Uncompressed,30,2,468.78,255,255,255,80.974,0.898,119538.9,100,92565,1.239,0.807,0.924
Rep1,Pos017,Uncompressed,30,3,475.237,255,255,255,88.344,0.765,121185.441,100,93840,1.724,0.58,0.894
Rep1,Pos017,Uncompressed,30,4,400.336,255,255,255,74.821,0.899,102085.562,100,79050,1.372,0.729,0.928
Rep1,Pos017,Uncompressed,30,5,507.522,255,255,255,82.03,0.948,129418.148,100,100215,1.061,0.943,0.955
Rep1,Pos017,Uncompressed,30,6,343.514,255,255,255,70,0.881,87595.998,100,67830,1.21,0.827,0.917
Rep1,Pos017,Uncompressed,30,7,427.455,255,255,255,76.818,0.91,109001.036,100,84405,1.204,0.83,0.936
Rep1,Pos017,Uncompressed,30,8,526.893,255,255,255,88.068,0.854,134357.772,100,104040,1.18,0.848,0.913
Rep1,Pos017,Uncompressed,35,1,579.841,255,255,255,90.455,0.891,147859.411,100,114495,1.171,0.854,0.947
Rep1,Pos017,Uncompressed,35,2,428.746,255,255,255,77.874,0.888,109330.344,100,84660,1.439,0.695,0.947
Rep1,Pos017,Uncompressed,35,3,543.681,255,255,255,88.458,0.873,138638.779,100,107355,1.058,0.945,0.92
Rep1,Pos017,Uncompressed,35,4,644.411,255,255,255,98.491,0.835,164324.824,100,127245,1.607,0.622,0.934
Rep1,Pos017,Uncompressed,35,5,414.541,255,255,255,78.425,0.847,105707.953,100,81855,1.261,0.793,0.928
Rep1,Pos017,Uncompressed,35,6,309.937,255,255,255,64.903,0.925,79033.984,100,61200,1.209,0.827,0.939
Rep1,Pos017,Uncompressed,35,7,538.516,255,255,255,93.004,0.782,137321.546,100,106335,1.6,0.625,0.905
Rep1,Pos017,Uncompressed,40,1,652.16,255,255,255,100.649,0.809,166300.674,100,128775,1.24,0.806,0.903
Rep1,Pos017,Uncompressed,40,2,479.111,255,255,255,82.971,0.875,122173.366,100,94605,1.435,0.697,0.936
Rep1,Pos017,Uncompressed,40,3,619.874,255,255,255,93.945,0.883,158067.967,100,122400,1.482,0.675,0.943
Rep1,Pos017,Uncompressed,40,4,475.237,255,255,255,82.581,0.876,121185.441,100,93840,1.243,0.805,0.913
Rep1,Pos017,Uncompressed,40,5,406.793,255,255,255,74.546,0.92,103732.103,100,80325,1.204,0.831,0.939
Rep1,Pos017,Uncompressed,40,6,366.759,255,255,255,71.056,0.913,93523.547,100,72420,1.223,0.818,0.94
Rep1,Pos017,Uncompressed,40,7,495.9,255,255,255,92.062,0.735,126454.374,100,97920,1.84,0.544,0.887
Rep1,Pos017,Uncompressed,40,8,392.587,255,255,255,72.663,0.934,100109.712,100,77520,1.258,0.795,0.943
Rep1,Pos017,Uncompressed,45,1,675.405,255,255,255,100.374,0.842,172228.222,100,133365,1.107,0.903,0.913
